varname,count,sum,mean,stddev
CounterB_LTwo,62,38.025,0.613306,0.0487854
CounterC_main,41,25.3282,0.61776,0.0361804
CounterC_LOne,41,26.1825,0.638597,0.0864991
CounterC_LTwo,41,24.4738,0.596922,0.0763452
CounterJ_main,65,40.194,0.618369,0.0469472
CounterJ_LOne,65,40.6647,0.62561,0.0845543
CounterJ_LTwo,65,39.7233,0.611128,0.06606
CounterK_main,48,29.6206,0.617097,0.0405916
CounterK_LOne,48,30.9882,0.645587,0.0883763
CounterK_LTwo,48,28.2531,0.588607,0.0780335
Counter,211,117.568,0.557195,0.0963376
Failed,189,95.5162,0.505377,0.0898566
CounterB_main,61,37.0712,0.607725,0.0478309
CounterB_LOne,61,36.7372,0.60225,0.0803151
CounterB_LTwo,61,37.4052,0.613201,0.048923
CounterC_main,41,25.3515,0.618328,0.0357445
CounterC_LOne,41,26.1816,0.638575,0.0865264
CounterC_LTwo,41,24.5213,0.598081,0.0771399
CounterJ_main,64,39.6053,0.618833,0.0471679
CounterJ_LOne,64,40.004,0.625063,0.0851066
CounterJ_LTwo,64,39.2066,0.612604,0.0654938
CounterK_main,48,29.6913,0.61857,0.0420786
CounterK_LOne,48,30.8886,0.643513,0.0879733
CounterK_LTwo,48,28.4941,0.593626,0.0762135
